"Target","Var1","Var2","Var3","RMSE"
"SalePrice","N_SchoolNearBy.Middle.","Size.sqf.","YearBuilt_2005",60573.1063512567
"SalePrice","N_Parkinglot.Basement.","Size.sqf.","TimeToSubway_Novs05vsOther",60595.2862843964
"SalePrice","N_FacilitiesNearBy.ETC.","N_Parkinglot.Basement.","Size.sqf.",60597.3248724899
"SalePrice","N_FacilitiesNearBy.Park.","Size.sqf.","YrSold_2011_2014",60609.2776182672
"SalePrice","N_SchoolNearBy.High._0vs12vs345","Size.sqf.","YrSold_2013",60609.5653303137
"SalePrice","N_FacilitiesNearBy.PublicOffice.","N_Parkinglot.Basement.","Size.sqf.",60621.6881217123
"SalePrice","HallwayType","N_Parkinglot.Ground.","Size.sqf.",60623.9211647228
"SalePrice","N_APT","Size.sqf.","TimeToSubway",60627.1265050337
"SalePrice","N_SchoolNearBy.Elementary.","Size.sqf.","YrSold_2013",60627.2496422628
"SalePrice","N_SchoolNearBy.High.","Size.sqf.","YearBuilt",60640.4503197497
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.Middle._0vs123vs4","Size.sqf.",60661.4406530282
"SalePrice","N_APT","Size.sqf.","YrSold",60690.5024754026
"SalePrice","HallwayType","Size.sqf.","YearBuilt_2005",60691.2865485421
"SalePrice","N_FacilitiesNearby.corr_pos","Size.sqf.","YrSold_2011_2014",60693.5607148568
"SalePrice","N_FacilitiesNearBy.ETC._0vsOther","Size.sqf.","YearBuilt_2005",60694.097944377
